dno	pno	uno	ano
1	588	20	6
2	185	19	2
3	216	20	6
4	383	11	6
5	66	16	3
6	73	15	6
7	122	17	6
8	318	1	3
9	498	20	6
10	47	4	7
11	110	5	5
12	164	19	6
13	247	1	1
14	86	19	2
15	90	19	4
16	584	3	1
17	27	1	3
18	143	19	3
19	5	18	3
20	482	7	6
21	24	7	1
22	247	6	3
23	80	8	4
24	574	19	5
25	592	17	6
26	416	14	3
27	43	11	5
28	169	3	5
29	1	12	4
30	366	15	5
31	48	3	6
32	122	3	7
33	190	1	4
34	195	7	3
35	341	19	2
36	339	18	3
37	247	18	6
38	538	8	1
39	224	16	1
40	297	20	4
41	281	19	1
42	586	4	5
43	335	8	6
44	72	5	2
45	477	5	5
46	294	14	6
47	296	3	7
48	406	11	4
49	563	3	5
50	574	8	2
51	206	13	1
52	385	11	7
53	242	19	5
54	598	15	2
55	27	7	6
56	546	8	7
57	265	16	4
58	140	12	6
59	57	9	7
60	531	8	3
61	156	2	4
62	127	1	4
63	494	7	1
64	154	14	7
65	576	3	5
66	348	20	7
67	489	4	3
68	31	11	2
69	482	11	5
70	62	19	2
71	119	11	2
72	347	8	3
73	523	8	4
74	577	11	2
75	99	17	3
76	204	11	1
77	84	3	4
78	504	5	1
79	94	19	3
80	162	15	3
81	274	2	2
82	142	10	4
83	227	19	6
84	115	6	3
85	141	16	2
86	552	2	5
87	530	11	2
88	566	7	7
89	290	9	3
90	421	10	4
91	467	8	7
92	132	4	4
93	200	15	4
94	207	4	5
95	320	10	2
96	213	16	4
97	38	7	1
98	212	5	2
99	358	15	1
100	85	18	4
101	326	18	7
102	295	2	3
103	367	13	2
104	110	15	6
105	459	18	6
106	211	9	2
107	565	10	5
108	79	12	5
109	224	10	4
110	363	6	6
111	399	20	3
112	365	16	4
113	525	19	4
114	517	17	7
115	185	7	1
116	585	9	7
117	575	10	7
118	301	4	3
119	243	3	6
120	449	16	2
121	570	3	7
122	505	6	4
123	263	13	5
124	547	6	1
125	173	10	6
126	225	9	1
127	334	1	3
128	139	14	7
129	398	6	3
130	562	6	6
131	229	1	5
132	577	20	1
133	8	14	1
134	198	19	2
135	387	3	2
136	517	7	3
137	121	11	1
138	544	18	2
139	394	5	7
140	8	11	6
141	185	7	7
142	483	3	7
143	558	18	5
144	82	7	6
145	492	12	7
146	385	12	4
147	4	4	5
148	593	19	4
149	292	12	6
150	133	9	1
151	477	12	4
152	180	11	1
153	205	4	7
154	559	2	1
155	239	12	5
156	533	13	4
157	488	14	2
158	322	7	6
159	381	14	3
160	403	17	7
161	319	20	1
162	8	17	5
163	42	2	3
164	106	18	2
165	553	12	5
166	194	13	7
167	504	17	3
168	294	19	7
169	394	15	7
170	513	20	3
171	436	2	1
172	19	6	2
173	73	8	3
174	92	12	1
175	92	5	4
176	162	1	7
177	459	6	3
178	336	3	6
179	283	15	3
180	478	1	4
181	32	19	2
182	114	6	5
183	476	6	7
184	566	11	3
185	352	18	6
186	183	15	4
187	586	17	7
188	549	4	3
189	414	16	6
190	379	9	7
191	494	7	2
192	9	2	6
193	8	5	3
194	366	5	5
195	502	14	5
196	241	10	6
197	103	6	1
198	459	18	7
199	479	11	3
200	130	13	2
201	63	18	3
202	253	19	1
203	96	11	4
204	295	4	5
205	164	8	2
206	460	4	3
207	146	20	2
208	319	10	6
209	2	11	5
210	544	3	2
211	394	16	5
212	222	7	2
213	94	1	5
214	294	6	1
215	326	4	4
216	109	3	6
217	34	13	2
218	558	13	6
219	403	7	4
220	236	4	5
221	485	10	3
222	423	6	7
223	21	5	3
224	520	3	4
225	354	7	7
226	598	14	5
227	474	3	5
228	500	11	7
229	37	17	2
230	416	18	3
231	451	13	3
232	568	16	5
233	100	2	4
234	161	18	3
235	534	1	7
236	166	5	2
237	406	20	4
238	276	14	4
239	374	15	1
240	27	10	4
241	323	10	6
242	218	10	1
243	182	12	4
244	171	1	3
245	593	14	4
246	43	11	2
247	234	4	2
248	5	1	7
249	11	8	5
250	534	16	3
251	299	15	2
252	523	18	7
253	472	15	5
254	78	2	6
255	527	13	5
256	281	9	3
257	484	12	3
258	68	5	3
259	293	7	1
260	351	7	6
261	111	20	4
262	45	20	2
263	266	1	3
264	392	3	7
265	190	10	4
266	258	13	2
267	340	14	4
268	333	2	7
269	528	14	7
270	415	7	6
271	293	20	7
272	26	11	6
273	197	11	2
274	284	3	1
275	105	12	2
276	112	5	7
277	100	4	4
278	275	20	6
279	80	13	3
280	541	17	1
281	487	4	3
282	137	2	6
283	353	17	4
284	506	10	4
285	534	5	6
286	398	19	4
287	480	10	7
288	228	20	7
289	122	3	1
290	599	10	7
291	287	20	3
292	252	18	4
293	455	18	1
294	355	14	7
295	443	2	3
296	325	13	1
297	6	16	3
298	420	20	5
299	71	9	3
300	455	1	1
301	319	2	1
302	43	8	6
303	562	10	6
304	320	1	2
305	126	16	2
306	514	14	1
307	461	2	2
308	532	17	7
309	264	6	4
310	174	5	4
311	55	14	7
312	17	1	4
313	339	16	3
314	532	1	5
315	535	9	3
316	579	5	4
317	534	10	3
318	551	1	2
319	408	5	7
320	249	19	5
321	109	7	5
322	186	12	6
323	476	16	6
324	119	14	6
325	236	6	5
326	596	8	5
327	93	15	4
328	111	2	1
329	119	13	6
330	27	18	6
331	267	9	2
332	176	6	6
