nno	adjective	word
1	큰	호랑이
2	밝은	라이언
3	새로운	고릴라
4	오래된	톰 크루즈
5	부드러운	코끼리
6	차가운	레오나르도 디카프리오
7	따뜻한	사자
8	맑은	제니퍼 로렌스
9	더러운	오랑우탄
10	쉬운	브래들리 쿠퍼
11	예쁜	강아지
12	시원한	앤 해서웨이
13	좋은	판다
14	착한	크리스 프랫
15	뜨거운	사슴
16	차분한	엠마 왓슨
17	불안한	원숭이
18	어려운	조니 뎁
19	편안한	뱀
20	건강한	나탈리 포트만
21	화창한	캥거루
22	흥미로운	브루스 윌리스
23	힘든	뱃사람
24	깨끗한	엘런 드제너러스
25	신선한	말
26	활기찬	크리스 에반스
27	미끄러운	돌고래
28	느린	헨리 카빌
29	빠른	고양이
30	더러운	샤를리즈 테론
31	빈	코뿔소
32	춥은	브래드 피트
33	밝은	오리
34	부담스런	블레이크 라이블리
35	어려운	판다
36	높은	라이언 고슬링
37	낮은	악어
38	넓은	제시카 알바
39	깊은	펭귄
40	가파른	캐서린 제타 존스
41	온화한	곰
42	무거운	셀레나 고메즈
43	가벼운	기린
44	따뜻한	라이언 레이놀즈
45	차가운	앵무새
46	부드러운	안젤리나 졸리
47	강한	기니피그
48	약한	조디 포스터
49	건강한	고래
50	느린	마이클 베이 조던
51	빠른	물개
52	날카로운	마고 로비
53	무딘	햄스터
54	강한	조지 클루니
55	취약한	뱀파이어
56	단단한	마리오 로페즈
57	부서진	코끼리
58	불안한	제임스 프랭코
59	안전한	사막여우
60	위험한	엘런 페이지
61	매끄러운	코알라
62	거친	닐 파트릭 해리스
63	부드러운	라마
64	건강한	메간 폭스
65	아름다운	재규어
66	훌륭한	리암 니슨
67	진실한	참새
68	거짓된	킷 헤링턴
69	고요한	크래비스
70	시끄러운	줄리아 로버츠
71	소음스러운	야광오리
72	고요한	앤 해서웨이
73	시끄러운	미셸 로드리게즈
74	단조로운	백조
75	다채로운	엠마 스톤
76	단색의	거북이
77	다채로운	샘 워싱턴
78	지루한	제시카 알바
79	재미있는	원숭이
80	지루한	제니퍼 애니스턴
81	유익한	사자
82	도움되는	브래들리 쿠퍼
83	고통스러운	판다
84	고마운	에반 레이첼 우드
85	기쁜	강아지
86	슬픈	라이언 레이놀즈
87	화가난	돌고래
88	행복한	엘런 드제너러스
89	화가나는	코끼리
90	가슴 아픈	헨리 카빌
91	건강한	고양이
92	아프는	브래드 피트
93	재미있는	악어
94	싫은	판다
95	끔찍한	라이언 고슬링
96	좋은	코뿔소
97	나쁜	캐서린 제타 존스
98	부정적인	펭귄
99	긍정적인	샤를리즈 테론
100	훌륭한	기린
101	끔찍한	제니퍼 로렌스
102	좋은	호랑이
103	싫은	앤 해서웨이
104	나쁜	제니퍼 애니스턴
105	긍정적인	사자
106	부정적인	판다
107	귀찮은	강아지
108	예쁜	라이언 레이놀즈
109	추운	돌고래
110	뜨거운	헨리 카빌
111	따뜻한	코끼리
112	차갑은	브래들리 쿠퍼
113	부드러운	샤를리즈 테론
114	거친	판다
115	안전한	캐서린 제타 존스
116	위험한	엘런 드제너러스
117	화가 나는	펭귄
118	기분 나쁜	제니퍼 로렌스
119	행복한	호랑이
120	슬픈	메간 폭스
121	화나는	강아지
122	상쾌한	사자
123	달콤한	코끼리
124	쓴	돌고래
125	짜릿한	판다
126	시원한	제니퍼 로렌스
127	포근한	라이언 레이놀즈
128	뜨거운	앤 해서웨이
129	차갑은	헨리 카빌
130	따뜻한	샤를리즈 테론
131	부드러운	판다
132	거친	브래들리 쿠퍼
133	노란	제니퍼 애니스턴
134	녹색의	강아지
135	파란	캐서린 제타 존스
136	붉은	돌고래
137	검은	코끼리
138	흰	엘런 드제너러스
139	보라색의	호랑이
140	주황색의	샤를리즈 테론
141	분홍색의	판다
142	회색의	메간 폭스
143	갈색의	강아지
144	하늘색의	제니퍼 로렌스
145	은은한	라이언 레이놀즈
146	푸른	돌고래
147	분홍색의	판다
148	자주색의	캐서린 제타 존스
149	갈색의	헨리 카빌
