pno	uno	ano	tno	weight	price	tar	vat	hap	whether
1	2	6	5	25	3920730	274451	419518	795269	1
2	10	3	4	31	89781430	17956286	10773772	28851258	1
3	1	2	5	41	158724350	20627631	17935198	38684029	1
4	7	5	4	64	789539210	157907842	94744705	252773747	1
5	16	4	3	8	546837890	38277652	58511554	96815706	1
6	15	4	1	47	276194680	35991403	31218608	67331211	1
7	19	3	4	64	62589170				0
8	13	2	6	32	470681920	61307250	53198917	114627367	1
9	16	4	2	38	19856230	2581313	2243755	4946268	1
10	3	5	6	45	780315400	101841903	88215730	190178833	1
11	7	4	6	12	145872060	18961769	16483383	35518452	1
12	5	5	6	23	34208970	4449668	3865864	8416832	1
13	6	6	5	20	587924360	41055051	62897941	104026292	1
14	13	4	6	64	921658430	119959355	104161779	224242334	0
15	8	1	7	54	678314920	67831492	74614641	142567333	1
16	18	2	7	65	253718690	25371869	27909056	53402125	1
17	20	1	7	15	39472810	3947281	4342009	8362590	1
18	7	6	4	65	564930710				0
19	7	1	6	30	895317260	116396144	101171340	217668784	1
20	14	1	6	15	627845390	81624604	70947099	152645003	1
21	1	2	3	56	312947180	40684135	35363132	76168467	1
22	15	3	6	60	198456920	25893600	22435052	48449852	1
23	11	2	5	42	872594130	61081797	93367593	154570590	1
24	5	4	7	18	75684920	7568492	8325341	15967133	0
25	20	1	3	67	132489670	26497934	15898760	42517894	1
26	2	6	6	59	629573180	44219122	67379230	111719552	1
27	17	1	6	7	745839100	97025083	84286418	181338001	1
28	4	6	7	49	396817240	39681724	43649896	83452820	1
29	12	1	5	13	985372460				0
30	12	5	5	57	526793810	36875567	56366938	93363705	1
31	17	2	6	44	274830690	54966138	32979683	88067021	1
32	3	4	7	69	81245930	10591273	9183720	19896193	1
33	7	2	5	32	712548390	142509678	85505807	228136685	1
34	19	2	3	34	319572640	41539617	36111226	77772043	0
35	2	6	4	32	547839200	54783920	60262312	115167432	1
36	20	2	7	52	845397120	109804437	95520156	205445793	1
37	12	1	4	25	162739480	16273948	17901343	34276591	1
38	18	6	6	43	65319820	6531982	7185180	13838362	1
39	14	6	7	38	392648570	51146210	44379478	95646888	1
40	18	2	6	17	798264150				0
41	7	6	7	58	879436210				0
42	9	1	6	36	238469310	47693862	28616317	76431379	1
43	11	1	2	61	43670810	5683401	4935421	10740022	1
44	11	4	5	20	697381540	48416695	74579824	123069819	0
45	3	1	5	43	241895370	31447960	27334333	58903493	1
46	11	3	4	13	85479610	11114549	9659416	20847265	1
47	6	3	6	35	961738240	192347648	115408589	307877437	1
48	16	3	7	58	471925830	33035908	50496174	83653282	1
49	13	4	2	42	314587690	62917538	37750523	100789261	1
50	6	2	2	69	687912530	68791253	75670378	144582831	1
51	3	3	4	58	529487360				0
52	15	1	7	34	846721930	59270534	90699246	150090980	1
53	20	2	4	19	289354670	28935467	31829014	60837781	1
54	16	3	7	20	48137690				0
55	16	6	5	58	795613820	55694267	85130809	140946276	1
56	15	6	5	22	156924370	31384874	18830924	50317098	1
57	18	4	7	22	72468530	5073796	7754233	12929329	0
58	20	1	2	63	478629180	47862918	52649210	100633328	1
59	5	4	5	39	537914820	69928725	60784355	130834280	1
60	8	1	4	10	361789240	47024051	40881329	87931880	1
61	1	2	5	6	984215360	127875780	111209114	239111394	1
62	4	6	7	66	651982470				0
63	11	2	3	60	235816390	16507144	25232353	41860697	1
64	8	6	6	44	893257490	89325749	98258324	187705273	1
65	13	3	2	63	174589210	34917842	20950705	55989747	1
66	13	6	7	20	319864520	41580997	36144552	77798849	1
67	13	2	5	68	562793180	39495522	60228870	99845592	0
68	7	2	3	31	698245130	48876157	74712129	123709486	1
69	17	3	6	59	821934570	106851594	92878616	199851410	1
70	18	2	6	21	469813270	93962654	56377592	150441546	1
71	14	5	5	48	329175480	65835096	39401058	105357354	1
72	7	1	3	17	94287630	6599133	10088676	16761109	1
73	2	3	7	70	578924310	75459015	65438333	141018548	1
74	9	6	4	40	739216540	96079151	83529569	179729920	0
