rno	pno	start	end
1	1	6	10
2	2	9	7
3	3	8	11
4	4	1	3
5	5	2	5
6	6	4	1
7	7	7	2
8	8	3	4
9	9	10	8
10	10	5	6
11	11	11	9
12	12	2	9
13	13	5	1
14	14	4	3
15	15	7	11
16	16	8	6
17	17	10	2
18	18	1	7
19	19	9	4
20	20	6	8
21	21	3	10
22	22	11	5
23	23	8	4
24	24	9	10
25	25	1	2
26	26	7	3
27	27	6	11
28	28	5	9
29	29	4	2
30	30	10	1
31	31	3	8
32	32	2	7
33	33	11	6
34	34	9	5
35	35	10	3
36	36	6	1
37	37	5	8
38	38	2	4
39	39	7	9
40	40	4	10
41	41	8	3
42	42	11	7
43	43	1	6
44	44	3	9
45	45	4	7
46	46	5	10
47	47	1	11
48	48	2	6
49	49	8	5
50	50	9	2
51	51	10	4
52	52	7	8
53	53	11	3
54	54	6	9
55	55	1	4
56	56	5	2
57	57	3	11
58	58	8	1
59	59	4	5
60	60	10	7
61	61	6	2
62	62	9	8
63	63	11	10
64	64	7	4
65	65	2	3
66	66	1	9
67	67	5	6
68	68	8	2
69	69	3	1
70	70	4	11
71	71	10	9
72	72	7	5
73	73	6	3
74	74	2	10
75	75	1	8
76	76	11	6
77	77	9	7
78	78	4	8
79	79	3	2
80	80	5	11
81	81	6	4
82	82	7	1
83	83	10	5
84	84	8	9
85	85	9	3
86	86	11	2
87	87	1	5
88	88	2	8
89	89	4	6
90	90	7	10
91	91	3	6
92	92	5	4
93	93	11	1
94	94	9	2
95	95	10	7
96	96	8	11
97	97	6	5
98	98	1	3
99	99	2	9
100	100	7	8
101	101	4	10
102	102	3	7
103	103	8	6
104	104	9	1
105	105	11	4
106	106	10	3
107	107	5	1
108	108	2	11
109	109	6	7
110	110	9	10
111	111	1	2
112	112	4	5
113	113	8	3
114	114	7	6
115	115	11	8
116	116	10	4
117	117	5	9
118	118	3	10
119	119	6	2
120	120	1	7
121	121	9	11
122	122	2	4
123	123	8	1
124	124	11	5
125	125	7	9
126	126	4	2
127	127	3	8
128	128	10	6
129	129	5	11
130	130	1	6
131	131	2	3
132	132	9	4
133	133	8	7
134	134	10	1
135	135	6	8
136	136	5	2
137	137	11	9
138	138	4	7
139	139	3	10
140	140	7	4
141	141	1	8
142	142	9	6
143	143	2	10
144	144	11	3
145	145	8	5
146	146	6	1
147	147	5	9
148	148	4	11
149	149	10	7
150	150	3	2
151	151	1	5
152	152	9	8
153	153	2	6
154	154	7	3
155	155	11	10
156	156	6	10
157	157	9	7
158	158	8	11
159	159	1	3
160	160	2	5
161	161	4	1
162	162	7	2
163	163	3	4
164	164	10	8
165	165	5	6
166	166	11	9
167	167	2	9
168	168	5	1
169	169	4	3
170	170	7	11
171	171	8	6
172	172	10	2
173	173	1	7
174	174	9	4
175	175	6	8
176	176	3	10
177	177	11	5
178	178	8	4
179	179	9	10
180	180	1	2
181	181	7	3
182	182	6	11
183	183	5	9
184	184	4	2
185	185	10	1
186	186	3	8
187	187	2	7
188	188	11	6
189	189	9	5
190	190	10	3
191	191	6	1
192	192	5	8
193	193	2	4
194	194	7	9
195	195	4	10
196	196	8	3
197	197	11	7
198	198	1	6
199	199	3	9
200	200	4	7
201	201	5	10
202	202	1	11
203	203	2	6
204	204	8	5
205	205	9	2
206	206	10	4
207	207	7	8
208	208	11	3
209	209	6	9
210	210	1	4
211	211	5	2
212	212	3	11
213	213	8	1
214	214	4	5
215	215	10	7
216	216	6	2
217	217	9	8
218	218	11	10
219	219	7	4
220	220	2	3
221	221	1	9
222	222	5	6
223	223	8	2
224	224	3	1
225	225	4	11
226	226	10	9
227	227	7	5
228	228	6	3
229	229	2	10
230	230	1	8
231	231	11	6
232	232	9	7
233	233	4	8
234	234	3	2
235	235	5	11
236	236	6	4
237	237	7	1
238	238	10	5
